iter	RMSE
462	0.3630748948
463	0.3612686165
464	0.3608599042
465	0.3593378678
466	0.3586039527
467	0.3562655785
468	0.3551081399
469	0.3535148554
470	0.3524130321
471	0.3523394149
472	0.3522777322
473	0.3505456471
474	0.3494242312
475	0.3491863583
476	0.3480033915
477	0.3470724789
478	0.3451253766
479	0.3434986759
480	0.3420147295
481	0.3405890681
482	0.3392703569
483	0.3385134549
484	0.3376414476
485	0.3364792794
486	0.3342679859
487	0.3330146621
488	0.331876975
489	0.3318067043
490	0.3313217549
491	0.3306062749
492	0.3294831529
493	0.327939796
494	0.3259930477
495	0.3240381755
496	0.3231424874
497	0.3230672884
498	0.3215360265
499	0.3199148206
500	0.3171941531
501	0.3170731071
502	0.3152523487
503	0.3149122583
504	0.3136877526
505	0.3115648265
506	0.3098937075
507	0.3088389328
508	0.3073096677
509	0.3071553142
510	0.3068729338
511	0.3057718626
512	0.3047375048
513	0.3043577827
514	0.3026401388
515	0.3012611886
516	0.2999139729
517	0.2985387599
518	0.2983900051
519	0.296830803
520	0.2958105365
521	0.2945357213
522	0.2941544416
523	0.2929438254
524	0.2928660412
525	0.2921885609
526	0.290583113
527	0.2902857439
528	0.2901970796
529	0.2898142195
530	0.2887649771
531	0.2878232757
532	0.2868617821
533	0.2866246267
534	0.2845135124
535	0.2832566767
536	0.281856623
537	0.2797497953
538	0.2788737451
539	0.2788277437
540	0.2786090947
541	0.2785510894
542	0.2782343482
543	0.2769174444
544	0.2758065106
545	0.2735211252
546	0.2734289688
547	0.2715772838
548	0.2714872403
549	0.2709103605
550	0.2691676686
551	0.2682476944
552	0.2666155253
553	0.2657317778
554	0.264479248
555	0.2632726056
556	0.2631999792
557	0.2620224009
558	0.2618535935
559	0.2602684104
560	0.2591063442
561	0.2578363935
562	0.2567358181
563	0.2557839851
564	0.2548105721
565	0.2531529278
566	0.2526011136
567	0.2518625114
568	0.250633
569	0.2499843554
570	0.2494272111
571	0.2489994125
572	0.2478774512
573	0.2472895926
574	0.2463307584
575	0.2454518033
576	0.2454103888
577	0.2439245198
578	0.243658468
579	0.2421702724
580	0.2413926351
581	0.240553848
582	0.2393472364
583	0.2393000371
584	0.2389124583
585	0.2387104428
586	0.2382551275
587	0.2377723519
588	0.2377290548
589	0.2367814839
590	0.2362098429
591	0.2349056816
592	0.2348477562
593	0.2338297052
594	0.2331708163
595	0.2317204386
596	0.2305408851
597	0.2295096241
598	0.2293658373
599	0.2285841733
600	0.2275362633
601	0.2263962427
602	0.225509445
603	0.2244862037
604	0.2237711879
605	0.2228088378
606	0.2218771715
607	0.2217943169
608	0.2209458107
609	0.2196073967
610	0.2191234904
611	0.2182664627
612	0.2180595387
613	0.2170010669
614	0.2156510063
615	0.2148203141
616	0.2147787106
617	0.2137521561
618	0.2130724081
619	0.2115750039
620	0.2106531461
621	0.2104709218
622	0.2097367743
623	0.2091809095
624	0.2080322481
625	0.207866591
626	0.2069386462
627	0.2067478903
628	0.2059402759
629	0.2056444023
630	0.2049049407
631	0.2038646396
632	0.2028643384
633	0.2022731349
634	0.2017074102
635	0.2013380769
636	0.2003825014
637	0.1997160259
638	0.1985831746
639	0.1977647443
640	0.1977363634
641	0.1968625877
642	0.1961020753
643	0.1959193676
644	0.1950996798
645	0.1947442234
646	0.1945881974
647	0.1937888372
648	0.193093162
649	0.1928384199
650	0.1918694035
651	0.19112776
652	0.190247839
653	0.1899383536
654	0.189913688
655	0.189304689
656	0.1885945492
657	0.1880325118
658	0.1873808598
659	0.1864594937
660	0.185914917
661	0.1854574054
662	0.1849811114
663	0.1847017315
664	0.1843794504
665	0.1833773406
666	0.1827618829
667	0.1822859797
668	0.1814002972
669	0.1811800594
670	0.1808518424
671	0.179653039
672	0.1786338653
673	0.1778972905
674	0.1774278623
675	0.1768596266
676	0.176442194
677	0.1763925311
678	0.1758384483
679	0.1757942823
680	0.17576649
681	0.1749965921
682	0.1745534093
683	0.1739232563
684	0.1733079349
685	0.1727605436
686	0.172301501
687	0.1722702591
688	0.1716451096
689	0.171094238
690	0.1702553093
691	0.170202116
692	0.1701748773
693	0.1701522149
694	0.1698566719
695	0.1687263154
696	0.1682288047
697	0.1681805406
698	0.1681612346
699	0.1673544883
700	0.1665684682
701	0.1658280874
702	0.1653120476
703	0.164329345
704	0.1635040448
705	0.1634791231
706	0.1628974832
707	0.1621133379
708	0.1615756729
709	0.1606431636
710	0.1603494709
711	0.1600880808
712	0.1593906626
713	0.1581012599
714	0.1578840375
715	0.1576064457
716	0.1572309089
717	0.1570066211
718	0.1567430103
719	0.1564729813
720	0.1557668675
721	0.1553080419
722	0.1551809394
723	0.153667689
724	0.1533834811
725	0.1530652328
726	0.1527449729
727	0.1523643149
728	0.1513248381
729	0.1511144063
730	0.1504161244
731	0.1496515255
732	0.1494004871
733	0.1489473547
734	0.1476599863
735	0.1468390562
736	0.1459948252
737	0.1453606687
738	0.1452615294
739	0.1450237145
740	0.1445568853
741	0.14382707
742	0.1435581867
743	0.1435388899
744	0.1430837342
745	0.1425445807
746	0.1421618366
747	0.1414947378
748	0.1414219274
749	0.1409464619
750	0.1408834401
751	0.1408098452
752	0.1402534234
753	0.1397007704
754	0.1388026879
755	0.1383095406
756	0.1381136629
757	0.137222861
758	0.1364155923
759	0.1363319472
760	0.1361918644
761	0.1354947013
762	0.1349770014
763	0.1348457189
764	0.1344999386
765	0.1344712607
766	0.133803489
767	0.1336241904
768	0.1333306709
769	0.1330852767
770	0.1326936707
771	0.1324488812
772	0.1316859373
773	0.1315230812
774	0.1309249749
775	0.1303776826
776	0.1297613192
777	0.1287245289
778	0.1283720862
779	0.1280389117
780	0.1274320042
781	0.1272151073
782	0.1267904876
783	0.126514557
784	0.1262740566
785	0.1255280532
786	0.125231779
787	0.1250220177
788	0.1248374428
789	0.1248174806
790	0.1245138455
791	0.1242814468
792	0.1240579814
793	0.1238391873
794	0.1236793568
795	0.1232676737
796	0.1230940104
797	0.1225817288
798	0.1219700354
799	0.1215548795
800	0.1213107995
801	0.1212849829
802	0.1211023397
803	0.1206788747
804	0.1203362828
805	0.1202845842
806	0.120187697
807	0.1198224747
808	0.1191486815
809	0.1186862177
810	0.1185552858
811	0.1182703102
812	0.118010438
813	0.1175901789
814	0.1172436369
815	0.1169429995
816	0.1165578666
817	0.115872562
818	0.1156768975
819	0.1155677687
820	0.1150528724
821	0.1147007072
822	0.1143981364
823	0.1140209782
824	0.11365348
825	0.1134395749
826	0.1127715896
827	0.112558072
828	0.1120223917
829	0.1120013867
830	0.1115387326
831	0.1115205307
832	0.1113590643
833	0.1113281077
834	0.1109368928
835	0.1104579
836	0.110169691
837	0.1098190801
838	0.1091642275
839	0.1091373436
840	0.1089640038
841	0.108709616
842	0.1084761475
843	0.1081594494
844	0.1079221014
845	0.1075875271
846	0.1070654757
847	0.1068675721
848	0.1067324084
849	0.1063220591
850	0.1061831995
851	0.1059214379
852	0.1058899056
853	0.1058223235
854	0.1055805717
855	0.1051149835
856	0.104638263
857	0.1046161959
858	0.104254064
859	0.1039492794
860	0.1035635633
861	0.1034337133
862	0.103230307
863	0.1026424495
864	0.1022658085
865	0.1021524743
866	0.1018883747
867	0.1018616822
868	0.1018418268
869	0.1016361698
870	0.1013818732
871	0.1010495509
872	0.1008497411
873	0.1004819824
874	0.09986528516
875	0.09935298765
876	0.09888078744
877	0.09886241269
878	0.09859386169
879	0.09816720335
880	0.09773631138
881	0.09739930363
882	0.09735832817
883	0.09708491045
884	0.0966395478
885	0.09622443522
886	0.09604026104
887	0.09558558679
888	0.09531645894
889	0.09515509717
890	0.09509632988
891	0.09508509353
892	0.09475202464
893	0.09441033505
894	0.09438918042
895	0.09437696379
896	0.0941850521
897	0.09369772008
898	0.09330255296
899	0.09305440361
900	0.09290881851
901	0.09280983399
902	0.09267740671
903	0.09220544977
904	0.09217947376
905	0.09203488723
906	0.09166510606
907	0.09119966172
908	0.0908909369
909	0.09042611241
910	0.09028595411
911	0.09013632087
912	0.08988116669
913	0.08977802774
914	0.08942623013
915	0.08935665975
916	0.08890476987
917	0.08861230231
918	0.0885384982
919	0.08829654804
920	0.08779130843
921	0.08744219608
922	0.08711897432
923	0.08683369404
924	0.08654953203
925	0.08598997198
926	0.08580723562
927	0.08545842016
928	0.08476314199
929	0.08464770326
930	0.08432102208
931	0.08417806372
932	0.08395847429
933	0.08374209174
934	0.08342530179
935	0.08297905661
936	0.08274543721
937	0.08265217292
938	0.08249136788
939	0.08211234807
940	0.08146315612
941	0.0809368796
942	0.08058512623
943	0.08042046613
944	0.08022105938
945	0.07979964042
946	0.07967209682
947	0.0793277128
948	0.07895681041
949	0.07880032628
950	0.07865230775
951	0.07850940486
952	0.07837599048
953	0.07792304174
954	0.07782030345
955	0.07771292206
956	0.07750371003
957	0.07737456923
958	0.07734699215
959	0.07691051358
960	0.0767052293
961	0.07637088106
962	0.07622549308
963	0.07593098456
964	0.07585436165
965	0.0756390123
966	0.07539512732
967	0.07519935085
968	0.07514718045
969	0.07447832494
970	0.0742930112
971	0.0742174057
972	0.07409063626
973	0.0737853865
974	0.07376170473
975	0.07357123403
976	0.07346042733
977	0.07308068013
978	0.07275721364
979	0.07257759455
980	0.07235051544
981	0.07214172265
982	0.0718509415
983	0.07165055242
984	0.0716200399
985	0.07145203669
986	0.07124280963
987	0.07089025772
988	0.07062888454
989	0.07061025217
990	0.07019873122
991	0.06999398098
992	0.06967506338
993	0.06950807362
994	0.0692095988
995	0.069121768
996	0.0690438338
997	0.06836198021
998	0.06834507071
999	0.06796498523
